セグメント,決算年度,決算種別,営業収益,営業利益,営業利益率,営業収益構成比,営業利益構成比,設備投資
GMS事業,FY2016,年度,"3,067,165 ","-1,321 ",0.0 ,37.4 ,-0.7 ,"122,997 "
GMS事業,FY2017,年度,"3,084,278 ","10,536 ",0.3 ,36.8 ,5.0 ,"73,406 "
GMS事業,FY2018,年度,"3,080,630 ","11,515 ",0.4 ,36.2 ,5.4 ,"82,269 "
GMS事業,FY2019,年度,"3,070,521 ","7,223 ",0.2 ,35.7 ,3.4 ,"128,305 "
GMS事業,FY2020,年度,"3,360,417 ","-11,115 ",-0.3 ,39.1 ,-7.4 ,"60,346 "
GMS事業,FY2021,年度,"3,292,740 ","-2,033 ",-0.1 ,37.8 ,-1.2 ,"55,093 "
GMS事業,FY2022,年度,"3,269,042 ","14,097 ",0.4 ,35.9 ,6.7 ,"73,691 "
GMS事業,FY2023,年度,"3,389,350 ","28,359 ",0.8 ,35.5 ,11.3 ,"75,957 "
SM事業,FY2016,年度,"3,217,579 ","33,688 ",1.0 ,39.2 ,18.2 ,"84,122 "
SM事業,FY2017,年度,"3,240,978 ","30,722 ",0.9 ,38.6 ,14.6 ,"75,625 "
SM事業,FY2018,年度,"3,235,064 ","25,195 ",0.8 ,38.0 ,11.9 ,"75,080 "
SM事業,FY2019,年度,"3,224,363 ","21,507 ",0.7 ,37.5 ,10.0 ,"77,966 "
SM事業,FY2020,年度,"2,547,879 ","41,651 ",1.6 ,29.6 ,27.7 ,"63,495 "
SM事業,FY2021,年度,"2,520,678 ","30,539 ",1.2 ,28.9 ,17.5 ,"64,174 "
SM事業,FY2022,年度,"2,642,119 ","22,844 ",0.9 ,29.0 ,10.9 ,"70,076 "
SM事業,FY2023,年度,"2,782,171 ","41,911 ",1.5 ,29.1 ,16.7 ,"66,063 "
DS事業,FY2016,年度,0 ,0 ,0.0 ,0.0 ,0.0 ,0 
DS事業,FY2017,年度,0 ,0 ,0.0 ,0.0 ,0.0 ,0 
DS事業,FY2018,年度,0 ,0 ,0.0 ,0.0 ,0.0 ,0 
DS事業,FY2019,年度,0 ,0 ,0.0 ,0.0 ,0.0 ,0 
DS事業,FY2020,年度,"397,318 ","4,495 ",1.1 ,4.6 ,3.0 ,0 
DS事業,FY2021,年度,"388,111 ","2,759 ",0.7 ,4.5 ,1.6 ,"3,635 "
DS事業,FY2022,年度,"383,490 ","3,682 ",1.0 ,4.2 ,1.8 ,"4,812 "
DS事業,FY2023,年度,"400,428 ","8,489 ",2.1 ,4.2 ,3.4 ,"5,274 "
H&W事業,FY2016,年度,"623,631 ","22,053 ",3.5 ,7.6 ,11.9 ,"23,880 "
H&W事業,FY2017,年度,"696,392 ","27,700 ",4.0 ,8.3 ,13.2 ,"23,861 "
H&W事業,FY2018,年度,"793,962 ","26,269 ",3.3 ,9.3 ,12.4 ,"23,801 "
H&W事業,FY2019,年度,"883,220 ","35,029 ",4.0 ,10.3 ,16.3 ,"22,109 "
H&W事業,FY2020,年度,"956,596 ","41,532 ",4.3 ,11.1 ,27.6 ,"21,792 "
H&W事業,FY2021,年度,"1,031,020 ","41,909 ",4.1 ,11.8 ,24.0 ,"25,745 "
H&W事業,FY2022,年度,"1,149,689 ","44,828 ",3.9 ,12.6 ,21.4 ,"23,470 "
H&W事業,FY2023,年度,"1,235,115 ","42,600 ",3.4 ,12.9 ,17.0 ,"23,172 "
総合金融事業,FY2016,年度,"372,046 ","61,904 ",16.6 ,4.5 ,33.5 ,"58,013 "
総合金融事業,FY2017,年度,"408,092 ","69,766 ",17.1 ,4.9 ,33.2 ,"41,911 "
総合金融事業,FY2018,年度,"436,565 ","70,839 ",16.2 ,5.1 ,33.4 ,"34,655 "
総合金融事業,FY2019,年度,"484,719 ","70,464 ",14.5 ,5.6 ,32.7 ,"47,403 "
総合金融事業,FY2020,年度,"487,572 ","42,648 ",8.7 ,5.7 ,28.3 ,"46,495 "
総合金融事業,FY2021,年度,"472,549 ","61,791 ",13.1 ,5.4 ,35.4 ,"40,699 "
総合金融事業,FY2022,年度,"454,917 ","59,045 ",13.0 ,5.0 ,28.1 ,"41,740 "
総合金融事業,FY2023,年度,"483,502 ","51,231 ",10.6 ,5.1 ,20.4 ,"49,562 "
ディベロッパー事業,FY2016,年度,"315,940 ","46,851 ",14.8 ,3.8 ,25.4 ,"183,985 "
ディベロッパー事業,FY2017,年度,"335,664 ","51,542 ",15.4 ,4.0 ,24.5 ,"204,017 "
ディベロッパー事業,FY2018,年度,"360,259 ","55,590 ",15.4 ,4.2 ,26.2 ,"217,045 "
ディベロッパー事業,FY2019,年度,"371,926 ","63,279 ",17.0 ,4.3 ,29.4 ,"113,403 "
ディベロッパー事業,FY2020,年度,"327,017 ","35,738 ",10.9 ,3.8 ,23.7 ,"87,733 "
ディベロッパー事業,FY2021,年度,"366,743 ","38,870 ",10.6 ,4.2 ,22.3 ,"138,804 "
ディベロッパー事業,FY2022,年度,"443,482 ","45,242 ",10.2 ,4.9 ,21.6 ,"115,583 "
ディベロッパー事業,FY2023,年度,"468,342 ","47,348 ",10.1 ,4.9 ,18.9 ,"116,746 "
サービス・専門店事業,FY2016,年度,"765,669 ","26,393 ",3.4 ,9.3 ,14.3 ,"26,892 "
サービス・専門店事業,FY2017,年度,"774,237 ","20,261 ",2.6 ,9.2 ,9.6 ,"31,731 "
サービス・専門店事業,FY2018,年度,"768,548 ","19,762 ",2.6 ,9.0 ,9.3 ,"23,397 "
サービス・専門店事業,FY2019,年度,"739,599 ","5,124 ",0.7 ,8.6 ,2.4 ,"22,157 "
サービス・専門店事業,FY2020,年度,"641,631 ","-17,679 ",-2.8 ,7.5 ,-11.7 ,"18,730 "
サービス・専門店事業,FY2021,年度,"703,527 ","-3,051 ",-0.4 ,8.1 ,-1.8 ,"18,650 "
サービス・専門店事業,FY2022,年度,"765,620 ","10,270 ",1.3 ,8.4 ,4.9 ,"17,921 "
サービス・専門店事業,FY2023,年度,"797,491 ","17,284 ",2.2 ,8.3 ,6.9 ,"25,995 "
国際事業,FY2016,年度,"398,395 ","-5,401 ",-1.4 ,4.9 ,-2.9 ,"35,731 "
国際事業,FY2017,年度,"418,884 ",232 ,0.1 ,5.0 ,0.1 ,"20,081 "
国際事業,FY2018,年度,"437,567 ","3,414 ",0.8 ,5.1 ,1.6 ,"30,802 "
国際事業,FY2019,年度,"439,202 ","10,386 ",2.4 ,5.1 ,4.8 ,"12,287 "
国際事業,FY2020,年度,"414,413 ","6,068 ",1.5 ,4.8 ,4.0 ,"6,171 "
国際事業,FY2021,年度,"412,232 ","5,592 ",1.4 ,4.7 ,3.2 ,"7,144 "
国際事業,FY2022,年度,"497,428 ","12,859 ",2.6 ,5.5 ,6.1 ,"9,153 "
国際事業,FY2023,年度,"508,741 ","10,372 ",2.0 ,5.3 ,4.1 ,"23,767 "
その他,FY2016,年度,"7,112 ",222 ,3.1 ,0.1 ,0.1 ,"15,880 "
その他,FY2017,年度,"10,813 ",400 ,3.7 ,0.1 ,0.2 ,"11,089 "
その他,FY2018,年度,"16,895 ",196 ,1.2 ,0.2 ,0.1 ,"8,576 "
その他,FY2019,年度,"52,623 ","1,789 ",3.4 ,0.6 ,0.8 ,"14,217 "
その他,FY2020,年度,"55,033 ","2,350 ",4.3 ,0.6 ,1.6 ,"13,480 "
その他,FY2021,年度,"53,220 ",-178 ,-0.3 ,0.6 ,-0.1 ,"15,954 "
その他,FY2022,年度,"51,052 ","-4,162 ",-8.2 ,0.6 ,-2.0 ,"27,126 "
その他,FY2023,年度,"59,092 ","-11,555 ",-19.6 ,0.6 ,-4.6 ,"22,360 "
GMS事業,FY2024,年度,"3,559,481","16,360",0.5,35.1,6.9,"119,486"
SM事業,FY2024,年度,"3,060,065","32,959",1.1,30.2,13.9,"73,186"
DS事業,FY2024,年度,"411,447","7,991",1.9,4.1,3.4,"8,158"
H&W事業,FY2024,年度,"1,322,876","36,007",2.7,13.1,15.1,"16,144"
総合金融事業,FY2024,年度,"530,452","61,165",11.5,5.2,25.7,"53,670"
ディベロッパー事業,FY2024,年度,"496,170","53,035",10.7,4.9,22.3,"99,702"
サービス・専門店事業,FY2024,年度,"729,152","23,104",3.2,7.2,9.7,"21,810"
国際事業,FY2024,年度,"548,875","9,493",1.7,5.4,4,"33,942"
その他,FY2024,年度,"68,193","-10,072",-14.8,0.7,-4.2,"20,418"
GMS事業,FY2017-1Q,Q1,"751,568 ","-6,378 ",-0.8 ,,,
GMS事業,FY2017-2Q,Q2,"773,601 ","-4,081 ",-0.5 ,,,
GMS事業,FY2017-3Q,Q3,"743,308 ","-11,138 ",-1.5 ,,,
GMS事業,FY2017-4Q,Q4,"815,801 ","32,133 ",3.9 ,,,
GMS事業,FY2018-1Q,Q1,"751,010 ","-4,550 ",-0.6 ,35.7 ,-11.5 ,
GMS事業,FY2018-2Q,Q2,"783,679 ","-1,310 ",-0.2 ,36.3 ,-2.6 ,
GMS事業,FY2018-3Q,Q3,"738,234 ","-12,955 ",-1.8 ,35.6 ,-67.6 ,
GMS事業,FY2018-4Q,Q4,"807,707 ","30,330 ",3.8 ,37.1 ,29.4 ,
GMS事業,FY2019-1Q,Q1,"754,208 ","-5,434 ",-0.7 ,35.6 ,-19.6 ,
GMS事業,FY2019-2Q,Q2,"776,223 ","-2,100 ",-0.3 ,35.7 ,-3.6 ,
GMS事業,FY2019-3Q,Q3,"746,207 ","-10,592 ",-1.4 ,35.6 ,-63.2 ,
GMS事業,FY2019-4Q,Q4,"793,883 ","25,349 ",3.2 ,35.8 ,22.5 ,
GMS事業,FY2020-1Q,Q1,"799,985 ","-31,939 ",-4.0 ,38.5 ,254.5 ,
GMS事業,FY2020-2Q,Q2,"870,053 ",-405 ,0.0 ,39.7 ,-0.9 ,
GMS事業,FY2020-3Q,Q3,"823,167 ","-7,207 ",-0.9 ,38.8 ,-21.1 ,
GMS事業,FY2020-4Q,Q4,"867,212 ","28,436 ",3.3 ,39.2 ,34.5 ,
GMS事業,FY2021-1Q,Q1,"805,104 ","-7,202 ",-0.9 ,37.4 ,-18.4 ,
GMS事業,FY2021-2Q,Q2,"826,785 ","-8,853 ",-1.1 ,37.7 ,-22.9 ,
GMS事業,FY2021-3Q,Q3,"797,695 ","-12,787 ",-1.6 ,37.9 ,-111.4 ,
GMS事業,FY2021-4Q,Q4,"863,156 ","26,809 ",3.1 ,38.1 ,31.5 ,
GMS事業,FY2022-1Q,Q1,"789,022 ",107 ,0.0 ,35.8 ,0.2 ,
GMS事業,FY2022-2Q,Q2,"809,828 ","-3,861 ",-0.5 ,33.5 ,-7.4 ,
GMS事業,FY2022-3Q,Q3,"792,762 ","-11,053 ",-1.4 ,35.5 ,-65.8 ,
GMS事業,FY2022-4Q,Q4,"877,430 ","28,904 ",3.3 ,36.6 ,29.8 ,
GMS事業,FY2023-1Q,Q1,"821,665 ","1,063 ",0.1 ,36.2 ,2.3 ,
GMS事業,FY2023-2Q,Q2,"849,409 ","2,552 ",0.3 ,35.6 ,3.9 ,
GMS事業,FY2023-3Q,Q3,"819,086 ","-4,906 ",-0.6 ,35.4 ,-19.5 ,
GMS事業,FY2023-4Q,Q4,"899,190 ","29,650 ",3.3 ,35.6 ,27.5 ,
SM事業,FY2017-1Q,Q1,"801,750 ","1,943 ",0.2 ,,,
SM事業,FY2017-2Q,Q2,"821,087 ","8,925 ",1.1 ,,,
SM事業,FY2017-3Q,Q3,"794,455 ","1,728 ",0.2 ,,,
SM事業,FY2017-4Q,Q4,"823,686 ","18,126 ",2.2 ,,,
SM事業,FY2018-1Q,Q1,"798,780 ","2,071 ",0.3 ,38.0 ,5.2 ,
SM事業,FY2018-2Q,Q2,"831,068 ","9,048 ",1.1 ,38.4 ,18.0 ,
SM事業,FY2018-3Q,Q3,"799,971 ","2,052 ",0.3 ,38.6 ,10.7 ,
SM事業,FY2018-4Q,Q4,"805,245 ","12,024 ",1.5 ,37.0 ,11.6 ,
SM事業,FY2019-1Q,Q1,"792,074 ","-1,753 ",-0.2 ,37.4 ,-6.3 ,
SM事業,FY2019-2Q,Q2,"813,081 ","4,568 ",0.6 ,37.4 ,7.8 ,
SM事業,FY2019-3Q,Q3,"798,421 ","1,716 ",0.2 ,38.1 ,10.2 ,
SM事業,FY2019-4Q,Q4,"820,787 ","16,976 ",2.1 ,37.0 ,15.1 ,
SM事業,FY2020-1Q,Q1,"649,882 ","15,529 ",2.4 ,31.3 ,-123.7 ,
SM事業,FY2020-2Q,Q2,"645,421 ","10,522 ",1.6 ,29.4 ,22.7 ,
SM事業,FY2020-3Q,Q3,"615,698 ","3,991 ",0.6 ,29.0 ,11.7 ,
SM事業,FY2020-4Q,Q4,"636,878 ","11,609 ",1.8 ,28.8 ,14.1 ,
SM事業,FY2021-1Q,Q1,"625,706 ","5,277 ",0.8 ,29.1 ,13.5 ,
SM事業,FY2021-2Q,Q2,"646,646 ","8,899 ",1.4 ,29.5 ,23.1 ,
SM事業,FY2021-3Q,Q3,"616,236 ","2,265 ",0.4 ,29.3 ,19.7 ,
SM事業,FY2021-4Q,Q4,"632,090 ","14,098 ",2.2 ,27.9 ,16.6 ,
SM事業,FY2022-1Q,Q1,"643,445 ","3,328 ",0.5 ,29.2 ,7.6 ,
SM事業,FY2022-2Q,Q2,"665,748 ","5,216 ",0.8 ,27.5 ,10.0 ,
SM事業,FY2022-3Q,Q3,"650,698 ","-1,103 ",-0.2 ,29.1 ,-6.6 ,
SM事業,FY2022-4Q,Q4,"682,228 ","15,403 ",2.3 ,28.5 ,15.9 ,
SM事業,FY2023-1Q,Q1,"664,913 ","6,279 ",0.9 ,28.6 ,12.2 ,
SM事業,FY2023-2Q,Q2,"688,911 ","10,205 ",1.5 ,28.9 ,15.4 ,
SM事業,FY2023-3Q,Q3,"672,333 ","5,386 ",0.8 ,29.0 ,21.4 ,
SM事業,FY2023-4Q,Q4,"756,014 ","20,041 ",2.7 ,29.9 ,18.6 ,
DS事業,FY2017-1Q,Q1,0 ,0 ,0.0 ,0.0 ,0.0 ,
DS事業,FY2017-2Q,Q2,0 ,0 ,0.0 ,0.0 ,0.0 ,
DS事業,FY2017-3Q,Q3,0 ,0 ,0.0 ,0.0 ,0.0 ,
DS事業,FY2017-4Q,Q4,0 ,0 ,0.0 ,0.0 ,0.0 ,
DS事業,FY2018-1Q,Q1,0 ,0 ,0.0 ,0.0 ,0.0 ,
DS事業,FY2018-2Q,Q2,0 ,0 ,0.0 ,0.0 ,0.0 ,
DS事業,FY2018-3Q,Q3,0 ,0 ,0.0 ,0.0 ,0.0 ,
DS事業,FY2018-4Q,Q4,0 ,0 ,0.0 ,0.0 ,0.0 ,
DS事業,FY2019-1Q,Q1,0 ,0 ,0.0 ,0.0 ,0.0 ,
DS事業,FY2019-2Q,Q2,0 ,0 ,0.0 ,0.0 ,0.0 ,
DS事業,FY2019-3Q,Q3,0 ,0 ,0.0 ,0.0 ,0.0 ,
DS事業,FY2019-4Q,Q4,0 ,0 ,0.0 ,0.0 ,0.0 ,
DS事業,FY2020-1Q,Q1,"104,328 ","1,637 ",1.6 ,5.0 ,-13.0 ,
DS事業,FY2020-2Q,Q2,"100,188 ","1,264 ",1.3 ,4.6 ,2.7 ,
DS事業,FY2020-3Q,Q3,"94,807 ",36 ,0.0 ,4.5 ,0.1 ,
DS事業,FY2020-4Q,Q4,"97,995 ","1,558 ",1.6 ,4.4 ,1.9 ,
DS事業,FY2021-1Q,Q1,"97,640 ",461 ,0.5 ,4.5 ,1.2 ,
DS事業,FY2021-2Q,Q2,"98,459 ",760 ,0.8 ,4.5 ,2.0 ,
DS事業,FY2021-3Q,Q3,"95,027 ",86 ,0.1 ,4.5 ,0.7 ,
DS事業,FY2021-4Q,Q4,"96,985 ","1,452 ",1.5 ,4.3 ,1.7 ,
DS事業,FY2022-1Q,Q1,"95,448 ",87 ,0.1 ,4.3 ,0.2 ,
DS事業,FY2022-2Q,Q2,"95,940 ",793 ,0.8 ,4.0 ,1.5 ,
DS事業,FY2022-3Q,Q3,"94,343 ",376 ,0.4 ,4.2 ,2.2 ,
DS事業,FY2022-4Q,Q4,"97,759 ","2,426 ",2.5 ,4.1 ,2.5 ,
DS事業,FY2023-1Q,Q1,"99,615 ","1,680 ",1.7 ,4.3 ,3.3 ,
DS事業,FY2023-2Q,Q2,"100,879 ","2,569 ",2.5 ,4.2 ,3.9 ,
DS事業,FY2023-3Q,Q3,"99,267 ","1,849 ",1.9 ,4.3 ,7.3 ,
DS事業,FY2023-4Q,Q4,"100,667 ","2,391 ",2.4 ,4.0 ,2.2 ,
H&W事業,FY2017-1Q,Q1,"171,041 ","5,724 ",3.3 ,,,
H&W事業,FY2017-2Q,Q2,"170,156 ","8,145 ",4.8 ,,,
H&W事業,FY2017-3Q,Q3,"174,330 ","4,901 ",2.8 ,,,
H&W事業,FY2017-4Q,Q4,"180,865 ","8,930 ",4.9 ,,,
H&W事業,FY2018-1Q,Q1,"193,891 ","5,569 ",2.9 ,9.2 ,14.1 ,
H&W事業,FY2018-2Q,Q2,"200,984 ","8,051 ",4.0 ,9.3 ,16.0 ,
H&W事業,FY2018-3Q,Q3,"195,057 ","3,691 ",1.9 ,9.4 ,19.3 ,
H&W事業,FY2018-4Q,Q4,"204,030 ","8,958 ",4.4 ,9.4 ,8.7 ,
H&W事業,FY2019-1Q,Q1,"214,212 ","7,500 ",3.5 ,10.1 ,27.0 ,
H&W事業,FY2019-2Q,Q2,"220,529 ","9,459 ",4.3 ,10.1 ,16.1 ,
H&W事業,FY2019-3Q,Q3,"217,397 ","5,308 ",2.4 ,10.4 ,31.7 ,
H&W事業,FY2019-4Q,Q4,"231,082 ","12,762 ",5.5 ,10.4 ,11.3 ,
H&W事業,FY2020-1Q,Q1,"234,373 ","9,953 ",4.2 ,11.3 ,-79.3 ,
H&W事業,FY2020-2Q,Q2,"246,685 ","15,601 ",6.3 ,11.2 ,33.6 ,
H&W事業,FY2020-3Q,Q3,"234,968 ","6,190 ",2.6 ,11.1 ,18.1 ,
H&W事業,FY2020-4Q,Q4,"240,570 ","9,788 ",4.1 ,10.9 ,11.9 ,
H&W事業,FY2021-1Q,Q1,"250,144 ","7,030 ",2.8 ,11.6 ,17.9 ,
H&W事業,FY2021-2Q,Q2,"260,648 ","15,165 ",5.8 ,11.9 ,39.3 ,
H&W事業,FY2021-3Q,Q3,"249,364 ","6,765 ",2.7 ,11.8 ,58.9 ,
H&W事業,FY2021-4Q,Q4,"270,864 ","12,949 ",4.8 ,12.0 ,15.2 ,
H&W事業,FY2022-1Q,Q1,"269,041 ","7,479 ",2.8 ,12.2 ,17.0 ,
H&W事業,FY2022-2Q,Q2,"296,386 ","16,097 ",5.4 ,12.2 ,31.0 ,
H&W事業,FY2022-3Q,Q3,"284,620 ","7,311 ",2.6 ,12.7 ,43.5 ,
H&W事業,FY2022-4Q,Q4,"299,642 ","13,941 ",4.7 ,12.5 ,14.4 ,
H&W事業,FY2023-1Q,Q1,"299,640 ","7,160 ",2.4 ,12.9 ,13.9 ,
H&W事業,FY2023-2Q,Q2,"314,155 ","17,100 ",5.4 ,13.2 ,25.8 ,
H&W事業,FY2023-3Q,Q3,"300,798 ","6,204 ",2.1 ,13.0 ,24.6 ,
H&W事業,FY2023-4Q,Q4,"320,522 ","12,136 ",3.8 ,12.7 ,11.2 ,
